uid,day,1,2,3,4,5,6,7,8
0bbe959678964d2f93bf458a71f5e1cd,2,F,F,F,F,F,F,F,F
0bbe959678964d2f93bf458a71f5e1cd,3,F,F,F,F,F,F,F,F
0bbe959678964d2f93bf458a71f5e1cd,4,10A,7A,F,8C,9C,10D,F,F
0bbe959678964d2f93bf458a71f5e1cd,5,F,F,F,F,F,F,F,F
ef0ff15e93d949558efbeedede7dbeac,0,F,F,F,F,F,F,F,F
ef0ff15e93d949558efbeedede7dbeac,1,F,F,F,F,F,F,F,F
ef0ff15e93d949558efbeedede7dbeac,2,F,F,F,F,F,F,F,F
ef0ff15e93d949558efbeedede7dbeac,3,F,F,F,F,F,F,F,F
ef0ff15e93d949558efbeedede7dbeac,4,6D,7B,F,9A,10B,10B,F,6B
ef0ff15e93d949558efbeedede7dbeac,5,F,F,F,F,F,F,F,F
1fc2f5b810034470bda85952e79d4631,0,F,F,F,F,F,F,F,F
1fc2f5b810034470bda85952e79d4631,1,F,F,F,F,F,F,F,F
1fc2f5b810034470bda85952e79d4631,2,F,F,F,F,F,F,F,F
1fc2f5b810034470bda85952e79d4631,3,F,F,F,F,F,F,F,F
1fc2f5b810034470bda85952e79d4631,4,6C,7E,7D,7D,F,9B,8B,8D
1fc2f5b810034470bda85952e79d4631,5,F,F,F,F,F,F,F,F
4e03724c6dd24917bf94fc7fd4c919d3,0,F,F,F,F,F,F,F,F
4e03724c6dd24917bf94fc7fd4c919d3,1,F,F,F,F,F,F,F,F
4e03724c6dd24917bf94fc7fd4c919d3,2,F,F,F,F,F,F,F,F
4e03724c6dd24917bf94fc7fd4c919d3,3,F,F,F,F,F,F,F,F
4e03724c6dd24917bf94fc7fd4c919d3,4,6E,7C,F,F,9D,10C,F,8E
4e03724c6dd24917bf94fc7fd4c919d3,5,F,F,F,F,F,F,F,F
af18e6ccd82446689a8b7687de782851,0,F,F,F,F,F,F,F,F
af18e6ccd82446689a8b7687de782851,1,F,F,F,F,F,F,F,F
af18e6ccd82446689a8b7687de782851,2,F,F,F,F,F,F,F,F
af18e6ccd82446689a8b7687de782851,3,F,F,F,F,F,F,F,F
af18e6ccd82446689a8b7687de782851,4,7A,F,10E,9E,8A,F,10E,F
af18e6ccd82446689a8b7687de782851,5,F,F,F,F,F,F,F,F
602908a735454c84bfc80c01b3398490,0,F,F,F,F,F,F,F,F
602908a735454c84bfc80c01b3398490,1,F,F,F,F,F,F,F,F
602908a735454c84bfc80c01b3398490,2,F,F,F,F,F,F,F,F
602908a735454c84bfc80c01b3398490,3,F,F,F,F,F,F,F,F
602908a735454c84bfc80c01b3398490,4,F,6B,7E,F,F,8D,8E,6A
602908a735454c84bfc80c01b3398490,5,F,F,F,F,F,F,F,F
f28b54e842f2470490c0396d7d0691d6,0,F,F,F,F,F,F,F,F
